Unit ID,Rarity,Name,Health,Knockbacks,Speed,Attack,DPS,A. Type,A. Frequency,Foreswing,Range,Cost,Recharge,Abilities
197-2,超激レア,キャットマンダーク,"9,875",5,12,"6,250",672,範囲,279,70,440,"5,520",4446,対 天使 エイリアン 超ダメージ（与ダメ x3～4）
197-3,超激レア,キャットマンライジング,"9,875",5,12,"6,250",672,範囲,279,70,440,"5,520",4446,"対 エイリアン 古代種 超ダメージ（与ダメ x3～4）
 無効（古代の呪い）"
198-1,レア,サイキックネコ,950,3,6,125,36,単体,105,66,365,525,246,対 エイリアン 50％の確率で120～144F動きを遅くする
198-2,レア,ネオサイキックネコ,"1,100",3,6,150,43,単体,105,66,365,525,246,対 エイリアン 50％の確率で120～144F動きを遅くする
198-3,レア,デビルサイキックネコ,"1,400",3,12,150,63,単体,71,42,365,525,246,対 エイリアン 50％の確率で120～144F動きを遅くする
199-1,レア,ねこ陰陽師,875,3,8,75,19,単体,121,93,310,510,366,"対 全敵（メタル 無 魔 使 除く） 50％の確率で200～240F攻撃力50％に低下
 対 ゾンビ ゾンビキラー（撃破時蘇生無効）"
199-2,レア,魔法少女ねこ,"1,025",3,8,95,24,単体,121,93,310,510,366,"対 全敵（メタル 無 魔 使 除く） 50％の確率で200～240F攻撃力50％に低下
 対 ゾンビ ゾンビキラー（撃破時蘇生無効）"
199-3,レア,ねこ大魔王,"1,325",3,8,115,26,単体,131,93,310,510,366,"対 全敵（メタル 無 魔 使 除く） 100％の確率で200～240F攻撃力50％に低下
 対 ゾンビ ゾンビキラー（撃破時蘇生無効）"
200-1,激レア,ネコサーファー,"2,375",4,12,"1,150",383,範囲,90,11,270,990,606,"対 エイリアン 30％の確率で120～144F動きを止める
 50％の確率で1度だけ生き残る"
200-2,激レア,ネコ漂流,"2,750",4,12,"1,450",483,範囲,90,11,270,990,606,"対 エイリアン 30％の確率で120～144F動きを止める
 50％の確率で1度だけ生き残る"
200-3,激レア,ネコ漂流記,"3,875",4,12,"1,450",483,範囲,90,11,270,990,606,"対 エイリアン 40％の確率で120～144F動きを止める
 100％の確率で1度だけ生き残る"
201-1,激レア,メタルネコ,2,2,10,20,16,単体,37,8,140,600,546,メタル（被ダメージ1 ※クリティカル除く）
201-2,激レア,メタルネコビルダー,2,2,10,20,16,単体,37,8,140,600,546,メタル（被ダメージ1 ※クリティカル除く）
202-1,レア,ドラムメニャー,"1,425",2,10,182,107,単体,51,10,220,585,366,対 メタルな敵 40％の確率で200～240F攻撃力50％に低下
202-2,レア,プラカードにゃん,"1,675",2,10,207,122,単体,51,10,220,585,366,対 メタルな敵 40％の確率で200～240F攻撃力50％に低下
202-3,レア,ネコぺったん,"2,175",2,10,210,124,単体,51,10,220,585,366,"2連続攻撃 105 105（10F 21F）
 対 メタルな敵 40％の確率で200～240F攻撃力50％に低下"
203-1,EX,ネコ小籠包,275,3,9,20,15,単体,39,10,140,75,60,-
203-2,EX,ネコ大籠包,"1,125",3,6,162,82,範囲,59,20,300,750,226,-
203-3,EX,大籠包にゃんこ,"1,125",3,6,162,∞,範囲,0,20,300,750,226,-
204-1,超激レア,カチカチヤマンズ,"1,500",4,16,175,276,範囲,19,3,290,720,226,対 天使 エイリアン 15％の確率で70～84F攻撃力50％に低下
204-2,超激レア,炎護射撃車ウーウー,"8,000",2,38,"2,997",529,範囲,170,61,460,"5,100",2146,対 天使 エイリアン 100％の確率で140～168F攻撃力50％に低下
204-3,超激レア,豪炎狙撃車ウーウー,"8,000",2,48,"2,997",529,範囲,170,61,460,"5,100",2146,"対 天使 エイリアン めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 対 天使 エイリアン 100％の確率で140～168F攻撃力50％に低下"
205-1,EX,アイルー,625,3,12,137,84,単体,49,12,160,375,60,対 黒い敵 30％の確率で150～180F攻撃力50％に低下
205-2,EX,アイルー＆メラルー,625,3,12,137,84,単体,49,12,160,375,60,対 赤い敵 30％の確率で150～180F攻撃力50％に低下
206-1,EX,シェリア【キリン】,"2,375",2,6,"1,875",393,単体,143,105,330,"1,350",1186,対 浮いてる敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
206-2,EX,シェリア【キリンX】,"2,875",2,6,"2,375",498,単体,143,108,330,"1,350",1186,対 浮いてる敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
207-1,EX,リオレウス,"3,637",3,8,"1,887",271,範囲,209,74,405,"3,825",3346,-
207-2,EX,リオレウス＆にゃんこ,"4,637",3,8,"2,387",343,範囲,209,74,405,"3,825",3346,-
208-1,EX,リオレイア,"4,600",2,8,"2,100",394,範囲,160,45,320,"3,600",3346,対 全敵（メタル 無 魔 使 除く） 30％の確率で150～180F攻撃力50％に低下
208-2,EX,リオレイア＆にゃんこ,"5,850",2,8,"2,975",558,範囲,160,45,320,"3,600",3346,対 全敵（メタル 無 魔 使 除く） 30％の確率で150～180F攻撃力50％に低下
209-1,EX,キリンネコ,225,4,12,17,14,単体,37,8,140,75,60,対 浮いてる敵 打たれ強い（被ダメ 1/4～1/5）
209-2,EX,キリンネコキリン,"1,125",6,36,30,90,単体,10,6,140,750,60,対 浮いてる敵 打たれ強い（被ダメ 1/4～1/5）
210-1,EX,ちびネコ,100,3,8,20,16,単体,37,8,130,75,60,-
210-2,EX,ちびネコビルダー,100,3,8,20,16,単体,37,8,130,75,60,-
210-3,EX,ちびネコモヒカン,400,3,8,40,32,単体,37,8,130,45,96,-
211-1,EX,ちびタンクネコ,400,1,6,5,2,範囲,67,8,100,150,60,-
211-2,EX,ちびネコカベ,400,1,6,5,2,範囲,67,8,100,150,60,-
211-3,EX,ちびゴムネコ,"1,200",1,6,10,4,範囲,67,8,100,150,60,無効（止める）
212-1,EX,ちびバトルネコ,200,3,10,62,69,単体,27,8,140,300,60,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
212-2,EX,ちび勇者ネコ,200,3,10,62,69,単体,27,8,140,300,60,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
212-3,EX,ちび暗黒ネコ,"1,000",3,10,125,139,単体,27,8,150,300,60,対 天使 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
213-1,超激レア,ホワイトラビット,"7,200",6,11,"4,950",527,範囲,282,43,465,"5,325",4246,対 赤い敵 エイリアン 100％の確率で140～168F動きを遅くする
213-2,超激レア,ブラックキャット,"7,200",6,11,"4,950",527,範囲,282,43,465,"5,325",4246,対 赤い敵 エイリアン めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
213-3,超激レア,グレーフォックス,"7,200",6,11,"4,950",527,範囲,282,43,465,"5,325",4246,"対 赤い敵 エイリアン 100％の確率でふっとばす
 対 赤い敵 エイリアン 100％の確率で150～180F攻撃力50％に低下"
213-4,超激レア,スペクトルキャット,"10,000",6,11,"7,250",830,範囲,262,43,465,"5,325",4246,"3連続攻撃 4,950 1,150 1,150（43F 53F 63F）
 対 赤い敵 エイリアン めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 対 赤い敵 エイリアン 100％の確率で140～168F動きを遅くする
 対 赤い敵 エイリアン 100％の確率で150～180F攻撃力50％に低下
 対 超賢者 特効（与ダメ増 被ダメ減 妨害効果減 妨害耐性無効）
 遠方範囲攻撃（1撃目1～466 2撃目285～550 3撃目385～650）"
214-1,EX,にゃんこバーガー,275,3,9,20,15,単体,39,10,140,75,60,-
214-2,EX,にゃんこキングバーガー,"1,125",3,6,162,82,範囲,59,18,300,750,226,-
214-3,EX,にゃんこバーガーセット,"1,125",3,6,162,82,範囲,59,18,360,750,226,-
215-1,レア,百太郎,"1,200",2,12,200,51,範囲,118,39,190,450,146,50％の確率で1度だけ生き残る
215-2,レア,百太郎CC,"1,200",2,12,200,51,範囲,118,39,190,450,146,50％の確率で1度だけ生き残る
216-1,レア,マルコ,462,3,9,162,82,単体,59,2,330,990,346,対 エイリアン 20％の確率で60～72F動きを止める
216-2,レア,マルコCC,620,3,9,230,117,単体,59,2,330,990,346,対 エイリアン 20％の確率で60～72F動きを止める
217-1,レア,ターマ,675,3,9,127,32,範囲,119,2,315,997,346,対 エイリアン 30％の確率でふっとばす
217-2,レア,ターマCC,800,3,9,182,46,範囲,119,2,315,997,346,対 エイリアン 30％の確率でふっとばす
218-1,レア,エリ,"1,250",3,10,240,248,範囲,29,6,170,997,346,対 エイリアン 超ダメージ（与ダメ x3～4）
218-2,レア,エリCC,"1,625",3,10,350,362,範囲,29,6,170,997,346,対 エイリアン 超ダメージ（与ダメ x3～4）
219-1,レア,フィオ,447,3,10,150,82,単体,55,4,330,990,346,対 エイリアン 20％の確率で60～72F動きを遅くする
219-2,レア,フィオCC,575,3,10,212,116,単体,55,4,330,990,346,対 エイリアン 20％の確率で60～72F動きを遅くする
220-1,激レア,SV-001,"1,400",3,15,380,178,範囲,64,15,355,"1,365",426,-
220-2,激レア,SV-001CC,"1,700",3,15,535,251,範囲,64,15,355,"1,365",426,-
221-1,激レア,アレン・オニール,"2,500",2,10,750,188,単体,120,1,400,"1,575",516,100％の確率で1度だけ生き残る
221-2,激レア,アレン・オニールCC,"2,812",2,10,855,214,単体,120,1,400,"1,575",516,100％の確率で1度だけ生き残る
222-1,レア,マーズピープル,"1,137",3,8,117,46,単体,76,77,310,990,366,対 エイリアン 50％の確率で200～240F攻撃力50％に低下
222-2,レア,マーズピープルCC,"1,415",3,8,150,59,単体,76,77,310,990,366,対 エイリアン 50％の確率で200～240F攻撃力50％に低下
223-1,超激レア,ヒュージハーミット,"6,110",1,9,750,"1,023",範囲,22,9,166,"3,750",1078,対 エイリアン めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
223-2,超激レア,ヒュージハーミットCC,"8,332",1,9,"1,125","1,534",範囲,22,9,166,"3,750",1078,対 エイリアン めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
223-3,超激レア,ゴールデンヒュージハーミットCC,"10,832",1,9,"1,125","1,534",範囲,22,9,166,"3,750",1078,"対 黒い敵 エイリアン めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 無効（ワープ）"
224-1,超激レア,ジュピターキング,"9,000",2,5,"5,415",566,範囲,287,38,460,"6,300",4546,"対 エイリアン 50％の確率でふっとばす
 対 エイリアン 50％の確率で150～180F動きを遅くする"
224-2,超激レア,ジュピターキングCC,"11,250",2,5,"6,665",697,範囲,287,38,460,"6,300",4546,"対 エイリアン 50％の確率でふっとばす
 対 エイリアン 50％の確率で150～180F動きを遅くする"
224-3,超激レア,ゴールデンジュピターCC,"20,250",2,5,"6,665",697,範囲,287,38,460,"6,300",4546,"対 エイリアン 50％の確率でふっとばす
 対 エイリアン 50％の確率で150～180F動きを遅くする
 100％の確率でバリアブレイク
 100％の確率でLv1烈波（40F 射程 400～700）"
225-1,超激レア,モーデン元帥,"4,275",3,8,"2,600",582,範囲,134,15,410,"4,275",3706,"対 エイリアン 打たれ強い（被ダメ 1/4～1/5）
 対 エイリアン 40％の確率でふっとばす"
225-2,超激レア,モーデン元帥CC,"7,025",3,8,"3,575",800,範囲,134,15,410,"4,275",3706,"対 エイリアン 打たれ強い（被ダメ 1/4～1/5）
 対 エイリアン 40％の確率でふっとばす"
225-3,超激レア,ゴールデンモーデンCC,"7,025",3,8,"3,575",800,範囲,134,15,410,"4,275",3706,"対 白い敵 エイリアン 打たれ強い（被ダメ 1/4～1/5）
 対 白い敵 エイリアン 40％の確率でふっとばす"
226-1,超激レア,ハイ・ドゥ,"8,475",3,14,"3,485",608,範囲,172,33,420,"5,775",4646,"対 浮いてる敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 対 浮いてる敵 50％の確率でふっとばす"
226-2,超激レア,ハイ・ドゥCC,"10,625",3,14,"4,352",759,範囲,172,33,420,"5,775",4646,"対 浮いてる敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 対 浮いてる敵 50％の確率でふっとばす"
226-3,超激レア,ハイ・ドゥ MK III CC,"12,375",3,14,"5,102",890,範囲,172,33,420,"3,525",4646,"対 浮いてる敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 対 浮いてる敵 50％の確率でふっとばす"
227-1,超激レア,呪術師デスピエロ,"15,500",2,8,"16,025","2,012",範囲,239,70,430,"6,135",4946,"対 浮いてる敵 エイリアン のみに攻撃
 対 敵城 与ダメ x4"
227-2,超激レア,闇商人バビル,"15,500",2,8,"16,025","2,012",範囲,239,70,430,"6,135",4946,"対 天使 エイリアン のみに攻撃
 撃破時お金x2"
227-3,超激レア,奇術科学者クレイG,"23,250",2,8,"24,037","3,017",範囲,239,70,430,"6,135",4946,"対 エイリアン のみに攻撃
 無効（ふっとばす 止める 遅くする 攻撃力低下）"
228-1,レア,にゃんぷきん,300,2,8,20,14,単体,44,15,140,90,60,-
228-2,レア,ねこランタン,975,3,10,385,63,単体,183,24,350,840,106,対 黒い敵 20％の確率で60～72F動きを止める
228-3,レア,死神ネコ,975,3,10,385,63,単体,183,24,350,840,106,"対 黒い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 対 黒い敵 20％の確率で60～72F動きを止める
 対 超獣 特効（与ダメ増 被ダメ減）"
229-1,激レア,ハロウィンねねこ,"1,250",3,5,200,47,単体,127,28,310,148,1744,20％の確率でクリティカル
229-2,激レア,ハロウィン魔女ねねこ,"2,250",3,5,300,71,単体,127,28,310,148,1744,20％の確率でクリティカル
229-3,激レア,仮装・ハロウィンねねこ,"2,250",3,5,300,71,単体,127,28,310,148,1744,"20％の確率でクリティカル
 波動ストッパー"
230-1,超激レア,ウィンディスイート,"2,875",6,9,"4,637",341,範囲,408,81,435,"4,425",2946,対 エイリアン 超ダメージ（与ダメ x3～4）
230-2,超激レア,ウィンディスイートα,"5,625",6,9,"8,137",598,範囲,408,81,435,"4,425",2946,対 エイリアン 超ダメージ（与ダメ x3～4）
231-1,超激レア,デビルサンディア,"2,875",5,8,"4,637",350,範囲,397,90,425,"4,410",2866,対 黒い敵 超ダメージ（与ダメ x3～4）
231-2,超激レア,デビルサンディアβ,"5,625",5,8,"8,137",615,範囲,397,90,425,"4,410",2866,対 黒い敵 超ダメージ（与ダメ x3～4）
232-1,EX,おでん,437,2,10,120,45,単体,80,11,255,375,146,対 天使 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
232-2,EX,おでんCC,437,2,10,120,45,単体,80,11,255,375,146,対 天使 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
233-1,レア,光の神徒ヴァルキリー,"1,375",3,10,225,138,単体,49,10,255,540,226,対 黒い敵 30％の確率でふっとばす
233-2,レア,光の神徒ヴァルキリーCC,"1,750",3,10,300,184,単体,49,10,255,540,226,対 黒い敵 30％の確率でふっとばす
234-1,レア,神徒ブリュンヒルデ,"1,400",4,12,175,188,単体,28,9,215,540,226,対 浮いてる敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
234-2,レア,神徒ブリュンヒルデCC,"1,800",4,12,225,241,単体,28,9,215,540,226,対 浮いてる敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
235-1,レア,神徒スルズ,"1,187",2,9,287,110,単体,78,9,270,540,226,対 赤い敵 20％の確率で60～72F動きを止める
235-2,レア,神徒スルズCC,"1,637",2,9,350,135,単体,78,9,270,540,226,対 赤い敵 20％の確率で60～72F動きを止める
236-1,激レア,豊穣の女神フレイヤ,"1,175",3,7,162,24,範囲,199,40,400,825,506,対 黒い敵 天使 40％の確率で100～120F動きを遅くする
236-2,激レア,豊穣の女神フレイヤCC,"1,675",3,7,225,34,範囲,199,40,400,825,506,対 黒い敵 天使 40％の確率で100～120F動きを遅くする
237-1,超激レア,軍神オーディン,"3,425",4,8,"3,000",356,範囲,253,54,425,"4,200",2246,"対 天使 超ダメージ（与ダメ x3～4）
 対 天使 打たれ強い（被ダメ 1/4～1/5）"
237-2,超激レア,軍神オーディンCC,"5,975",4,8,"4,875",578,範囲,253,54,425,"4,200",2246,"対 天使 超ダメージ（与ダメ x3～4）
 対 天使 打たれ強い（被ダメ 1/4～1/5）"
238-1,激レア,おかめはちもくネコ,200,3,1,250,38,単体,199,34,300,600,4746,対 全敵（メタル 無 魔 使 除く） 100％の確率で150～180F攻撃力1％に低下
238-2,激レア,おかめの水博士,225,3,1,312,47,単体,199,34,300,600,4746,対 全敵（メタル 無 魔 使 除く） 100％の確率で150～180F攻撃力1％に低下
238-3,激レア,おかめ名誉客員教授,225,3,4,312,47,単体,199,34,300,600,4746,"対 全敵（メタル 無 魔 使 除く） 100％の確率で150～180F攻撃力1％に低下
 100％の確率でLv1烈波（40F 射程 150～1050）
 100％の確率で1度だけ生き残る"
239-1,激レア,ボンボンネコ,300,2,3,"1,240",307,単体,121,32,250,600,4746,"2連続攻撃 620 620（32F 40F）
 撃破時お金x2"
239-2,激レア,ネコボンのパパ,375,2,3,"1,444",358,単体,121,32,250,600,4746,"2連続攻撃 722 722（32F 40F）
 撃破時お金x2"
239-3,激レア,ネコボンのパパのパパ,375,2,3,"3,612",896,単体,121,32,250,600,4746,撃破時お金x2
240-1,激レア,見習いスニャイパー,250,1,2,25,2,単体,321,22,"1,000",900,4746,対 全敵（メタル 無 魔 使 除く） 100％の確率でふっとばす
240-2,激レア,ネゴルゴ,312,1,2,50,5,単体,321,22,"1,000",900,4746,対 全敵（メタル 無 魔 使 除く） 100％の確率でふっとばす
240-3,激レア,ネゴルゴ31,312,1,2,50,7,単体,221,22,"1,200",900,4746,"対 全敵（メタル 無 魔 使 除く） 100％の確率でふっとばす
 対 全敵（メタル 無 魔 使 除く） 100％の確率で90～108F動きを遅くする"
241-1,超激レア,トゲルガ,"1,250",5,4,375,137,単体,82,13,140,"4,500",746,-
241-2,超激レア,トゲランパサラン,125,1,4,"7,500",375,範囲,600,105,445,"4,500",4746,"体力1％以下で攻撃力上昇（与ダメ x3）
 100％の確率で1度だけ生き残る
 無効（波動）"
241-3,超激レア,デイダラトゲラン,"7,500",100,4,"7,500",441,範囲,510,105,445,"4,500",4746,"体力99％以下で攻撃力上昇（与ダメ x3）
 100％の確率で1度だけ生き残る
 無効（波動）"
242-1,超激レア,雪だるまのスノーカイ,"10,000",2,15,"3,887",738,範囲,158,51,175,"3,990",2146,対 天使 エイリアン 打たれ強い（被ダメ 1/4～1/5）
242-2,超激レア,雪だるまのスノーカイμ,"13,000",2,15,"6,237","1,184",範囲,158,51,175,"3,990",2146,対 天使 エイリアン 打たれ強い（被ダメ 1/4～1/5）
242-3,超激レア,雪妖精のスノーカイμ,"24,500",2,20,"7,512","1,426",範囲,158,51,175,"3,990",2146,対 天使 エイリアン 打たれ強い（被ダメ 1/4～1/5）
243-1,超激レア,サンタのメリークウ,"4,500",5,12,"7,500",451,範囲,499,60,400,"4,200",3744,対 天使 エイリアン めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
243-2,超激レア,サンタのメリークウγ,"8,250",5,12,"10,500",631,範囲,499,60,400,"4,200",3744,対 天使 エイリアン めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
244-1,超激レア,聖夜のシスターカッパー,"4,050",3,7,"3,225",512,範囲,189,100,375,"3,720",1744,対 天使 エイリアン 50％の確率で140～168F動きを止める
244-2,超激レア,聖夜のシスターカッパーκ,"5,750",3,7,"4,375",694,範囲,189,100,375,"3,720",1744,対 天使 エイリアン 50％の確率で140～168F動きを止める
245-1,レア,ネコのプレゼント,"1,750",3,30,437,130,単体,101,8,160,825,206,対 天使 30％の確率で60～72F動きを止める
245-2,レア,ネコプレゼント,"2,000",3,30,437,137,単体,96,6,160,825,206,対 天使 30％の確率で60～72F動きを止める
246-1,EX,ちびキモネコ,400,3,8,250,59,単体,127,8,300,600,76,-
246-2,EX,ちび美脚ネコ,400,3,8,250,60,単体,125,6,300,600,76,-
246-3,EX,ちびムキあしネコ,"1,600",3,8,500,120,単体,125,6,300,600,236,"対 エイリアン 30％の確率でふっとばす
 30％の確率でバリアブレイク"
247-1,EX,ちびウシネコ,500,5,20,32,96,単体,10,6,130,750,60,-
247-2,EX,ちびネコキリン,500,5,20,32,96,単体,10,6,130,750,60,-
247-3,EX,ちびネコライオン,"2,000",5,20,65,195,単体,10,6,130,750,136,無効（波動）
248-1,EX,ちびネコノトリ,300,4,8,350,214,範囲,49,10,160,975,60,-
248-2,EX,ちびネコUFO,300,4,8,412,217,範囲,57,18,160,975,60,-
248-3,EX,天空のちびネコ,"1,200",4,8,825,434,範囲,57,18,170,975,116,"対 ゾンビ めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 対 ゾンビ ゾンビキラー（撃破時蘇生無効）"
249-1,EX,死にたてにゃんこ,950,3,10,125,57,単体,66,4,220,540,186,"対 ゾンビ 20％の確率で60～72F動きを遅くする
 対 ゾンビ ゾンビキラー（撃破時蘇生無効）"
249-2,EX,化けにゃんこ,950,3,10,125,57,単体,66,22,220,540,186,"対 ゾンビ 20％の確率で60～72F動きを遅くする
 対 ゾンビ ゾンビキラー（撃破時蘇生無効）"
249-3,EX,復活にゃんこ,"1,300",3,10,125,56,単体,67,22,220,540,186,"対 ゾンビ 20％の確率で60～72F動きを遅くする
 対 ゾンビ ゾンビキラー（撃破時蘇生無効）
 対 ゾンビ 魂攻撃（仮死状態のゾンビに攻撃）"
250-1,レア,剣士,250,2,9,25,16,単体,46,11,140,75,60,体力50％以下で攻撃力上昇（与ダメ x1.5）
250-2,レア,セーラー服剣士,250,2,9,25,16,単体,46,11,140,75,60,体力50％以下で攻撃力上昇（与ダメ x1.5）
250-3,レア,明王の剣士,250,2,9,25,16,単体,46,11,140,75,60,体力50％以下で攻撃力上昇（与ダメ x2.5）
251-1,レア,騎馬兵,"1,125",5,25,145,112,単体,39,20,140,750,60,-
251-2,レア,森の騎馬兵,"1,125",5,25,145,112,単体,39,20,140,750,60,-
251-3,レア,迅雷の黒騎馬兵,"1,125",5,35,145,112,単体,39,20,140,750,60,-
252-1,レア,アシュラ,"1,500",2,7,625,250,単体,75,16,175,975,196,対 全敵（メタル 無 魔 使 除く） 20％の確率でふっとばす
252-2,レア,武者アシュラ,"1,500",2,7,625,250,単体,75,16,175,975,196,対 全敵（メタル 無 魔 使 除く） 20％の確率でふっとばす
252-3,レア,傾奇者アシュラ,"1,500",2,7,625,250,単体,75,16,175,975,196,対 全敵（メタル 無 魔 使 除く） 25％の確率でふっとばす
253-1,レア,バトルバルーン,"2,500",1,5,162,88,範囲,55,16,360,"1,350",706,-
253-2,レア,海賊バトルバルーン,"2,500",1,5,162,88,範囲,55,16,360,"1,350",706,-
253-3,レア,バトルバルーンUFO,"2,500",1,5,162,88,範囲,55,16,380,"1,350",706,-
254-1,レア,ドラゴンライダー,"1,125",3,12,150,73,単体,62,23,330,675,116,-
254-2,レア,ボーンドラゴンライダー,"1,125",3,12,150,73,単体,62,23,330,675,116,-
254-3,レア,フレイムドラゴンライダー,"1,125",3,12,300,145,単体,62,23,330,675,116,-
255-1,レア,プリティキャット,"1,450",4,9,375,239,単体,47,22,180,990,186,対 全敵（メタル 無 魔 使 除く） 5％の確率で60～72F動きを止める
255-2,レア,ラブリープリティキャット,"1,450",4,9,375,239,単体,47,22,180,990,186,対 全敵（メタル 無 魔 使 除く） 5％の確率で60～72F動きを止める
255-3,レア,サイバープリティキャット,"1,450",4,9,375,239,単体,47,22,180,990,186,対 全敵（メタル 無 魔 使 除く） 10％の確率で60～72F動きを止める
256-1,レア,サイクロプス,"3,000",2,6,"1,125",216,単体,156,37,400,"2,250",1426,-
256-2,レア,鋼鉄のサイクロプス,"3,000",2,6,"1,125",216,単体,156,37,400,"2,250",1426,-
256-3,レア,時空のサイクロプス,"3,000",2,6,"1,125",216,単体,156,37,410,"2,250",1426,-
257-1,EX,ゴーレム,"3,750",1,4,"2,187",180,範囲,365,16,415,"2,400",2146,対 全敵（浮 無 魔 使 除く） 10％の確率で120～144F動きを遅くする
257-2,EX,うさぎゴーレム,"3,750",1,4,"2,187",180,範囲,365,16,415,"2,400",2146,対 全敵（浮 無 魔 使 除く） 10％の確率で120～144F動きを遅くする
257-3,EX,ボルケーノゴーレム,"3,750",1,4,"2,187",180,範囲,365,16,415,"2,400",2146,対 全敵（浮 無 魔 使 除く） 20％の確率で120～144F動きを遅くする
258-1,超激レア,天空神ゼウス,"7,875",2,8,"3,625",608,範囲,179,64,480,"4,800",4746,対 天使 打たれ強い（被ダメ 1/4～1/5）
258-2,超激レア,ギガントゼウス,"9,500",2,8,"4,750",796,範囲,179,64,480,"4,800",4746,対 天使 打たれ強い（被ダメ 1/4～1/5）
258-3,超激レア,Gギガントゼウス,"10,450",2,8,"5,312",890,範囲,179,64,480,"4,800",4746,対 天使 打たれ強い（被ダメ 1/4～1/5）
259-1,超激レア,守護神アヌビス,"6,000",3,18,"5,250",590,範囲,267,116,425,"4,200",4146,"対 ゾンビ ゾンビキラー（撃破時蘇生無効）
 無効（波動 遅くする）"
259-2,超激レア,パーフェクトアヌビス,"8,000",3,18,"7,000",787,範囲,267,116,425,"4,200",4146,"対 ゾンビ ゾンビキラー（撃破時蘇生無効）
 無効（波動 遅くする）"
259-3,超激レア,Gパーフェクトアヌビス,"10,000",3,18,"8,750",983,範囲,267,116,425,"4,200",4146,"対 ゾンビ ゾンビキラー（撃破時蘇生無効）
 無効（波動 ふっとばす 遅くする）"
260-1,超激レア,美女神アフロディーテ,"4,875",4,7,"4,500",376,範囲,359,122,600,"4,500",3946,"対 エイリアン 超ダメージ（与ダメ x3～4）
 遠方範囲攻撃（450～850）"
260-2,超激レア,メガロディーテ,"6,500",4,7,"6,000",501,範囲,359,122,600,"4,500",3946,"対 エイリアン 超ダメージ（与ダメ x3～4）
 遠方範囲攻撃（450～850）"
260-3,超激レア,Gメガロディーテ,"7,750",4,7,"6,000",501,範囲,359,122,600,"4,500",3946,"対 エイリアン 超ダメージ（与ダメ x3～4）
 遠方範囲攻撃（450～850）"
261-1,激レア,ネコウェイ,750,3,10,500,161,範囲,93,40,355,"1,200",246,対 赤い敵 黒い敵 天使 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
261-2,激レア,ネコドローン,912,3,10,662,214,範囲,93,40,355,"1,200",246,対 赤い敵 黒い敵 天使 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
261-3,激レア,ネコタイムマシン,"1,562",3,10,987,318,範囲,93,40,355,"1,200",246,対 赤い敵 黒い敵 天使 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
262-1,超激レア,天誅ハヤブサ,"6,875",7,25,"1,500",302,範囲,149,32,365,"4,275",3246,"30％の確率でクリティカル
 遠方範囲攻撃（250～650）
 無効（遅くする）"
262-2,超激レア,斬魔ハヤブサ,"6,875",7,25,"3,000",604,範囲,149,32,365,"4,275",3246,"対 エイリアン 50％の確率でふっとばす
 対 エイリアン 50％の確率で100～120F動きを遅くする
 遠方範囲攻撃（250～650）
 無効（遅くする）"
262-3,超激レア,滅殺ハヤブサ,"6,875",7,25,"3,000",604,範囲,149,32,365,"4,275",3246,"対 ゾンビ 50％の確率でふっとばす
 対 ゾンビ 50％の確率で100～120F動きを遅くする
 対 ゾンビ ゾンビキラー（撃破時蘇生無効）
 遠方範囲攻撃（250～650）
 無効（遅くする）"
263-1,EX,ニャームス,"1,300",3,8,600,121,範囲,149,50,300,840,346,対 赤い敵 30％の確率で90～108F動きを止める
